sample_id,prompt_id,model_variant,arrangement,order,scoring_mode,chosen_tokens,rejected_tokens,chosen_loss,rejected_loss,loss_difference,truncated
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,aligned,forward,full_sequence,84,49,1.2126168012619019,2.2473409175872803,-1.0347241163253784,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,aligned,forward,isolated_branch,84,49,1.2391809225082397,2.4255659580230713,-1.1863850355148315,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,aligned,reverse,full_sequence,84,49,1.1535803079605103,2.406304359436035,-1.252724051475525,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,aligned,reverse,isolated_branch,84,49,1.2391809225082397,2.4255659580230713,-1.1863850355148315,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,swapped,forward,full_sequence,84,49,1.1112793684005737,2.5511648654937744,-1.4398854970932007,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,swapped,forward,isolated_branch,84,49,1.201857328414917,2.5926554203033447,-1.3907980918884277,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,swapped,reverse,full_sequence,84,49,1.1787147521972656,2.2246251106262207,-1.045910358428955,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,lora,swapped,reverse,isolated_branch,84,49,1.201857328414917,2.5926554203033447,-1.3907980918884277,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,aligned,forward,full_sequence,121,122,1.4564967155456543,1.7859063148498535,-0.3294095993041992,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,aligned,forward,isolated_branch,121,122,1.4546382427215576,1.8693101406097412,-0.4146718978881836,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,aligned,reverse,full_sequence,121,122,1.5127408504486084,1.8824687004089355,-0.36972784996032715,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,aligned,reverse,isolated_branch,121,122,1.4546382427215576,1.8693101406097412,-0.4146718978881836,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,swapped,forward,full_sequence,121,122,1.4970749616622925,1.8533631563186646,-0.35628819465637207,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,swapped,forward,isolated_branch,121,122,1.4728600978851318,1.8461732864379883,-0.37331318855285645,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,swapped,reverse,full_sequence,121,122,1.4781849384307861,1.8426419496536255,-0.36445701122283936,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,lora,swapped,reverse,isolated_branch,121,122,1.4728600978851318,1.8461732864379883,-0.37331318855285645,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,aligned,forward,full_sequence,752,400,1.1711546182632446,1.1283611059188843,0.04279351234436035,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,aligned,forward,isolated_branch,752,400,1.1747103929519653,1.176066279411316,-0.001355886459350586,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,aligned,reverse,full_sequence,752,400,1.1889455318450928,1.1813267469406128,0.0076187849044799805,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,aligned,reverse,isolated_branch,752,400,1.1747103929519653,1.176066279411316,-0.001355886459350586,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,swapped,forward,full_sequence,752,400,1.1870014667510986,1.2040661573410034,-0.017064690589904785,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,swapped,forward,isolated_branch,752,400,1.1791958808898926,1.1996008157730103,-0.020404934883117676,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,swapped,reverse,full_sequence,752,400,1.1765902042388916,1.165168285369873,0.011421918869018555,False
tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,tulu_v3.9_wildjailbreak_decontaminated_50k-request-45-888,lora,swapped,reverse,isolated_branch,752,400,1.1791958808898926,1.1996008157730103,-0.020404934883117676,False
valpy_if_qwq_reasoning_verified_no_reasoning-request-47-955,valpy_if_qwq_reasoning_verified_no_reasoning-request-47-955,lora,aligned,forward,full_sequence,36,19,2.389279365539551,0.18141686916351318,2.2078624963760376,False
valpy_if_qwq_reasoning_verified_no_reasoning-request-47-955,valpy_if_qwq_reasoning_verified_no_reasoning-request-47-955,lora,aligned,forward,isolated_branch,36,19,2.3822073936462402,0.21611253917217255,2.1660948544740677,False
